STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,IND,Indicator,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_2,Market share in OECD > Life,2018,,1.298,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_2,Market share in OECD > Life,2019,,1.052,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_2,Market share in OECD > Life,2020,,0.827,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_2,Market share in OECD > Life,2021,,0.815,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_2,Market share in OECD > Life,2022,,0.824,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_3,Market share in OECD > Non-Life,2018,,1.339,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_3,Market share in OECD > Non-Life,2019,,1.384,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_3,Market share in OECD > Non-Life,2020,,1.328,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_3,Market share in OECD > Non-Life,2021,,1.406,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_3,Market share in OECD > Non-Life,2022,,1.33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_1,Density > Total,2018,,2384.92,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_1,Density > Total,2019,,2013.479,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_1,Density > Total,2020,,1842.168,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_1,Density > Total,2021,,2119.288,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_1,Density > Total,2022,,2132.923,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_2,Density > Life,2018,,1180.58,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_2,Density > Life,2019,,848.279,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_2,Density > Life,2020,,640.448,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_2,Density > Life,2021,,706.396,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_2,Density > Life,2022,,695.954,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_3,Density > Non-Life,2018,,1204.341,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_3,Density > Non-Life,2019,,1165.199,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_3,Density > Non-Life,2020,,1201.72,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_3,Density > Non-Life,2021,,1412.892,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,III_3,Density > Non-Life,2022,,1436.969,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_1,Penetration > Total,2018,,4.229,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_1,Penetration > Total,2019,,3.701,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_1,Penetration > Total,2020,,3.468,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_1,Penetration > Total,2021,,3.295,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_1,Penetration > Total,2022,,3.218,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_2,Penetration > Life,2018,,2.093,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_2,Penetration > Life,2019,,1.559,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_2,Penetration > Life,2020,,1.206,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_2,Penetration > Life,2021,,1.098,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_2,Penetration > Life,2022,,1.05,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_3,Penetration > Non-Life,2018,,2.136,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_3,Penetration > Non-Life,2019,,2.142,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_3,Penetration > Non-Life,2020,,2.262,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_3,Penetration > Non-Life,2021,,2.196,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IV_3,Penetration > Non-Life,2022,,2.168,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,V,Life insurance share,2018,,49.526,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,V,Life insurance share,2019,,43.209,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,V,Life insurance share,2020,,36.945,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,V,Life insurance share,2021,,35.219,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,V,Life insurance share,2022,,34.527,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_1,Retention ratio > Total,2018,,77.936,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_1,Retention ratio > Total,2019,,74.13,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_1,Retention ratio > Total,2020,,69.445,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_1,Retention ratio > Total,2021,,68.82,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_1,Retention ratio > Total,2022,,69.839,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_2,Retention ratio > Life,2018,,84.175,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_2,Retention ratio > Life,2019,,76.477,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_2,Retention ratio > Life,2020,,67.061,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_2,Retention ratio > Life,2021,,66.548,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_2,Retention ratio > Life,2022,,68.497,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_3,Retention ratio > Non-Life,2018,,71.814,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_3,Retention ratio > Non-Life,2019,,72.345,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_3,Retention ratio > Non-Life,2020,,70.842,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_3,Retention ratio > Non-Life,2021,,70.055,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VII_3,Retention ratio > Non-Life,2022,,70.547,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_1,Ratio of reinsurance accepted > Total,2018,,14.299,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_1,Ratio of reinsurance accepted > Total,2019,,16.121,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_1,Ratio of reinsurance accepted > Total,2020,,17.711,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_1,Ratio of reinsurance accepted > Total,2021,,18.158,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_1,Ratio of reinsurance accepted > Total,2022,,16.732,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_2,Ratio of reinsurance accepted > Life,2018,,14.341,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_2,Ratio of reinsurance accepted > Life,2019,,18.215,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_2,Ratio of reinsurance accepted > Life,2020,,22.565,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_2,Ratio of reinsurance accepted > Life,2021,,22.544,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_2,Ratio of reinsurance accepted > Life,2022,,21.309,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_3,Ratio of reinsurance accepted > Non-Life,2018,,14.259,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_3,Ratio of reinsurance accepted > Non-Life,2019,,14.529,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_3,Ratio of reinsurance accepted > Non-Life,2020,,14.867,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_3,Ratio of reinsurance accepted > Non-Life,2021,,15.774,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,VIII_3,Ratio of reinsurance accepted > Non-Life,2022,,14.318,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_1,"Market share of ""foreign controlled undertakings"" and ""branches/agencies of foreign undertakings"" in total domestic business > Life",2018,,29.773,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_1,"Market share of ""foreign controlled undertakings"" and ""branches/agencies of foreign undertakings"" in total domestic business > Life",2019,,37.45,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_1,"Market share of ""foreign controlled undertakings"" and ""branches/agencies of foreign undertakings"" in total domestic business > Life",2020,,76.74,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_1,"Market share of ""foreign controlled undertakings"" and ""branches/agencies of foreign undertakings"" in total domestic business > Life",2021,,78.269,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_1,"Market share of ""foreign controlled undertakings"" and ""branches/agencies of foreign undertakings"" in total domestic business > Life",2022,,72.084,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_3,"Market share of ""foreign controlled undertakings"" and ""branches/agencies of foreign undertakings"" in total domestic business > Non-Life",2018,,34.81,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_3,"Market share of ""foreign controlled undertakings"" and ""branches/agencies of foreign undertakings"" in total domestic business > Non-Life",2019,,37.303,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_3,"Market share of ""foreign controlled undertakings"" and ""branches/agencies of foreign undertakings"" in total domestic business > Non-Life",2020,,38.49,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_3,"Market share of ""foreign controlled undertakings"" and ""branches/agencies of foreign undertakings"" in total domestic business > Non-Life",2021,,39.515,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_3,"Market share of ""foreign controlled undertakings"" and ""branches/agencies of foreign undertakings"" in total domestic business > Non-Life",2022,,37.658,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_4,"Market share of ""branches/agencies of foreign undertakings"" in total domestic business > Non-Life",2018,,11.871,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_4,"Market share of ""branches/agencies of foreign undertakings"" in total domestic business > Non-Life",2019,,13.244,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_4,"Market share of ""branches/agencies of foreign undertakings"" in total domestic business > Non-Life",2020,,15.149,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_4,"Market share of ""branches/agencies of foreign undertakings"" in total domestic business > Non-Life",2021,,16.705,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,IX_4,"Market share of ""branches/agencies of foreign undertakings"" in total domestic business > Non-Life",2022,,16.454,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,I_1,Total gross premiums > Total,2018,,21880.127,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,I_1,Total gross premiums > Total,2019,,21089.909,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,I_1,Total gross premiums > Total,2022,,21920.127,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,I_2,Total gross premiums > Life,2018,,6542.772,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,I_2,Total gross premiums > Life,2019,,6065.379,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,I_2,Total gross premiums > Life,2022,,8215.509,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,I_3,Total gross premiums > Non-Life,2018,,15337.355,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,I_3,Total gross premiums > Non-Life,2019,,15024.53,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,I_3,Total gross premiums > Non-Life,2022,,13704.619,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,II_1,Market share in OECD > Total,2018,,0.412,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,II_1,Market share in OECD > Total,2019,,0.419,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,II_2,Market share in OECD > Life,2018,,0.245,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,II_2,Market share in OECD > Life,2019,,0.241,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,II_2,Market share in OECD > Life,2022,,0.295,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,II_3,Market share in OECD > Non-Life,2018,,0.581,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,II_3,Market share in OECD > Non-Life,2019,,0.598,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_1,Density > Total,2018,,2284.388,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_1,Density > Total,2019,,2219.153,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_1,Density > Total,2020,,2285.374,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_1,Density > Total,2021,,2423.399,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_1,Density > Total,2022,,2244.373,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,II_1,Market share in OECD > Total,2022,,0.361,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_2,Density > Life,2018,,734.579,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_2,Density > Life,2019,,682.782,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_2,Density > Life,2020,,683.013,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_2,Density > Life,2021,,704.417,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_2,Density > Life,2022,,906.819,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_3,Density > Non-Life,2018,,1549.809,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_3,Density > Non-Life,2019,,1536.371,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_3,Density > Non-Life,2020,,1602.361,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_3,Density > Non-Life,2021,,1718.982,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,III_3,Density > Non-Life,2022,,1337.555,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,IV_1,Penetration > Total,2018,,4.461,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,IV_1,Penetration > Total,2019,,4.422,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,IV_1,Penetration > Total,2020,,4.674,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,IV_1,Penetration > Total,2021,,4.53,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,IV_1,Penetration > Total,2022,,4.303,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,IV_2,Penetration > Life,2018,,1.434,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,IV_2,Penetration > Life,2019,,1.36,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,IV_2,Penetration > Life,2020,,1.397,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,IV_2,Penetration > Life,2021,,1.317,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,IV_2,Penetration > Life,2022,,1.738,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,IV_3,Penetration > Non-Life,2018,,3.026,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,IV_3,Penetration > Non-Life,2019,,3.061,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUT,Austria,IV_3,Penetration > Non-Life,2020,,3.277,,A,,PC,Percentage,0,Units,,
